,Star Name
0,SDSS J000013.54+255418.6 [de]
1,SDSS J000013.54+255418.6 [de]
2,SDSS J000013.54+255418.6 [de]
3,SDSS J000013.54+255418.6 [de]
4,SDSS J000013.54+255418.6 [de]
5,SDSS J000013.54+255418.6 [de]
6,SDSS J000013.54+255418.6 [de]
7,SDSS J000013.54+255418.6 [de]
8,SDSS J000013.54+255418.6 [de]
9,SDSS J000013.54+255418.6 [de]
10,SDSS J000013.54+255418.6 [de]
11,SDSS J000013.54+255418.6 [de]
12,SDSS J000013.54+255418.6 [de]
13,SDSS J000013.54+255418.6 [de]
14,SDSS J000013.54+255418.6 [de]
15,SDSS J000013.54+255418.6 [de]
16,SDSS J000013.54+255418.6 [de]
17,SDSS J000013.54+255418.6 [de]
18,SDSS J000013.54+255418.6 [de]
19,SDSS J000013.54+255418.6 [de]
20,SDSS J000013.54+255418.6 [de]
21,SDSS J000013.54+255418.6 [de]
22,SDSS J000013.54+255418.6 [de]
23,SDSS J000013.54+255418.6 [de]
24,SDSS J000013.54+255418.6 [de]
25,SDSS J000013.54+255418.6 [de]
26,SDSS J000013.54+255418.6 [de]
27,SDSS J000013.54+255418.6 [de]
28,SDSS J000013.54+255418.6 [de]
29,SDSS J000013.54+255418.6 [de]
30,SDSS J000013.54+255418.6 [de]
31,SDSS J000013.54+255418.6 [de]
32,SDSS J000013.54+255418.6 [de]
33,SDSS J000013.54+255418.6 [de]
34,SDSS J000013.54+255418.6 [de]
35,SDSS J000013.54+255418.6 [de]
36,SDSS J000013.54+255418.6 [de]
37,SDSS J000013.54+255418.6 [de]
38,SDSS J000013.54+255418.6 [de]
39,SDSS J000013.54+255418.6 [de]
40,SDSS J000013.54+255418.6 [de]
41,SDSS J000013.54+255418.6 [de]
42,SDSS J000013.54+255418.6 [de]
43,SDSS J000013.54+255418.6 [de]
44,SDSS J000013.54+255418.6 [de]
45,SDSS J000013.54+255418.6 [de]
46,SDSS J000013.54+255418.6 [de]
47,SDSS J000013.54+255418.6 [de]
48,SDSS J000013.54+255418.6 [de]
49,SDSS J000013.54+255418.6 [de]
50,SDSS J000013.54+255418.6 [de]
51,SDSS J000013.54+255418.6 [de]
52,SDSS J000013.54+255418.6 [de]
53,SDSS J000013.54+255418.6 [de]
54,SDSS J000013.54+255418.6 [de]
55,SDSS J000013.54+255418.6 [de]
56,SDSS J000013.54+255418.6 [de]
57,SDSS J000013.54+255418.6 [de]
58,SDSS J000013.54+255418.6 [de]
59,SDSS J000013.54+255418.6 [de]
60,SDSS J000013.54+255418.6 [de]
61,SDSS J000013.54+255418.6 [de]
62,SDSS J000013.54+255418.6 [de]
63,SDSS J000013.54+255418.6 [de]
64,SDSS J000013.54+255418.6 [de]
65,SDSS J000013.54+255418.6 [de]
66,SDSS J000013.54+255418.6 [de]
67,SDSS J000013.54+255418.6 [de]
68,SDSS J000013.54+255418.6 [de]
69,SDSS J000013.54+255418.6 [de]
70,SDSS J000013.54+255418.6 [de]
